設置點,相關係數,MAE,MSE,歷史人潮總數,populartimes 總數,資料筆數
?男子漢鐵板料理,-0.258,24.86,1999.71,9,169,7
O le pain 喔！麵包,0.326,58.33,3670.33,11,361,6
ㄇㄇ的臭豆腐,0.391,41.83,3085.83,23,511,12
二崁杏仁茶館,,,,23,511,3
二崁聚落站,,,,23,511,2
佳朋名產總匯,,,,23,511,2
信興海產行滿500元送餅乾一包,,,,23,511,4
六六八餐廳,,,,23,511,2
北寮奎壁山,,,,23,511,3
原豆工坊咖啡專賣店,0.25,32.42,1462.92,25,412,12
台灣大餅早午餐,0.284,59.0,4393.0,19,430,7
吳記沙拉船&好記蔬食鹽水雞,0.482,31.5,1540.1,14,323,10
吹蚵仔的海鮮小吃,,44.2,3220.6,5,222,5
味真香新港鴨肉羹臭豆腐,0.338,44.25,2318.75,25,552,12
四季肉圓專賣店,0.018,18.08,495.46,17,242,13
四面佛 泰善堂,,,,17,242,1
回鄉餐館-(義大利麵 濃湯 炒飯 便當),,2.5,6.75,20,0,8
多那之澎湖店,0.497,70.75,5240.58,28,877,12
天人菊名產店,,,,28,877,3
天津蔥抓餅,0.321,58.47,4535.4,59,924,15
好吃的黑糖糕就在水月堂食品行～,,,,59,924,3
媽宮食品工廠,,,,59,924,4
家竹黑砂糖冷熱飲店,0.349,78.86,6366.0,12,564,7
富勝食品企業行,,,,12,564,2
小和食光輕食館,0.704,72.2,5490.6,14,375,5
巴適麻辣鍋,0.712,49.6,3325.8,28,520,10
弗洛伊得飲酒店,0.494,30.55,2039.64,15,339,11
抓包．馬公分店,0.322,37.67,2153.89,22,353,9
振發食品行,-0.044,45.5,2603.1,17,470,10
掌上明珠,,,,17,470,2
提樂茶飲專賣店,0.812,27.33,1250.33,8,170,6
新巴適經典麻辣鍋,0.829,37.1,2384.1,22,383,10
旭西餅舖,,,,22,383,1
曾記滿福堂擔仔麵,0.738,33.78,1809.56,67,653,18
欣欣麵食館,0.543,47.17,3361.83,7,286,6
歡迎來到新光堂（新光堂特產行）,-0.16,53.5,3838.17,7,326,6
泉利餅舖,,,,7,326,2
海城上湯鮮魚粥飯麵館,-0.107,67.8,4825.0,12,351,5
清香活海鮮,,,,12,351,3
源羊肉店,-0.182,46.0,2997.0,9,373,8
滷底撈-澎湖店,0.736,30.86,1090.29,20,236,7
漁夫才哥企業社,-0.04,62.78,4529.67,11,574,9
澎湖 朝陽路肉圓,-0.114,37.93,2480.64,34,535,14
澎湖伯伴手禮坊,0.029,54.67,3407.33,10,338,6
澎湖海洋地質公園中心,0.523,60.12,4274.38,11,492,8
澎湖海洋地質公園中心(1F),0.424,62.56,4636.78,17,580,9
澎漁宴餐廳,0.61,26.57,1769.86,46,378,14
福慶樓海鮮餐廳,,,,46,378,1
福鴨鴨肉大王,,,,46,378,4
篤行十村,,,,46,378,3
紐西蘭牛排館,0.093,54.11,3644.11,15,502,9
純意居蔬食超市,,,,15,502,4
美味登場飯麵館,0.233,38.64,2066.82,16,435,11
自由塔,-0.399,41.06,1803.29,60,758,17
莫咖啡,,,,60,758,1
萬泰食品,0.296,59.29,4386.43,12,425,7
葉子的店,-0.002,22.0,869.43,27,313,14
蒙地卡羅咖啡館,0.003,61.0,4781.4,6,309,5
藍21咖啡輕食,,,,6,309,3
跨海大橋(西嶼端),-0.506,57.0,3357.33,8,350,6
通樑古榕,0.236,83.17,7016.83,9,508,6
金港黑砂糖剉冰-澎湖店,0.508,32.4,1353.07,43,521,15
金醬府,0.661,65.4,4497.2,53,707,10
阿鳳牛肉河粉,0.279,41.33,2975.2,33,635,15
黑妞,0.419,54.0,3078.0,6,276,5
