設置點,相關係數,MAE,MSE,歷史人潮總數,populartimes 總數,資料筆數
?男子漢鐵板料理,,1.29,2.14,9,0,7
O le pain 喔！麵包,0.268,63.67,4716.67,11,393,6
ㄇㄇ的臭豆腐,0.489,31.42,1661.25,23,386,12
二崁杏仁茶館,,,,23,386,3
二崁聚落站,,,,23,386,2
佳朋名產總匯,,,,23,386,2
信興海產行滿500元送餅乾一包,,,,23,386,4
六六八餐廳,,,,23,386,2
北寮奎壁山,,,,23,386,3
原豆工坊咖啡專賣店,0.232,24.42,730.92,25,316,12
台灣大餅早午餐,0.632,50.57,2999.14,19,371,7
吳記沙拉船&好記蔬食鹽水雞,0.484,23.7,1057.1,14,245,10
吹蚵仔的海鮮小吃,,44.8,3318.4,5,225,5
味真香新港鴨肉羹臭豆腐,0.268,42.0,1998.0,25,525,12
四季肉圓專賣店,-0.019,24.0,903.23,17,319,13
四面佛 泰善堂,,,,17,319,1
回鄉餐館-(義大利麵 濃湯 炒飯 便當),0.097,35.62,1999.12,20,297,8
多那之澎湖店,0.093,57.33,3403.17,28,716,12
天人菊名產店,,,,28,716,3
天津蔥抓餅,0.315,38.4,1764.4,59,623,15
好吃的黑糖糕就在水月堂食品行～,,,,59,623,3
媽宮食品工廠,,,,59,623,4
家竹黑砂糖冷熱飲店,-0.605,49.71,2506.29,12,360,7
富勝食品企業行,,,,12,360,2
小和食光輕食館,0.233,56.8,3375.6,14,298,5
小門鯨魚洞站,-0.331,34.38,1431.62,10,285,8
巴適麻辣鍋,0.552,19.1,471.5,28,215,10
弗洛伊得飲酒店,0.408,13.36,350.27,15,150,11
抓包．馬公分店,,2.44,9.11,22,0,9
振發食品行,-0.054,24.1,790.9,17,256,10
掌上明珠,,,,17,256,2
提樂茶飲專賣店,-0.506,37.83,1522.83,8,235,6
新巴適經典麻辣鍋,0.717,24.6,1011.4,22,258,10
旭西餅舖,,,,22,258,1
曾記滿福堂擔仔麵,0.75,31.39,1701.39,67,610,18
欣欣麵食館,,1.17,1.5,7,0,6
歡迎來到新光堂（新光堂特產行）,-0.21,30.0,1161.0,7,185,6
泉利餅舖,,,,7,185,2
海城上湯鮮魚粥飯麵館,0.106,48.8,2452.4,12,256,5
清香活海鮮,,,,12,256,3
源羊肉店,-0.173,26.5,994.75,9,217,8
滷底撈-澎湖店,-0.368,59.43,3660.57,20,436,7
漁夫才哥企業社,0.076,54.78,3562.11,11,502,9
澎湖 朝陽路肉圓,-0.187,39.86,2907.71,34,562,14
澎湖伯伴手禮坊,0.202,61.0,4110.33,10,376,6
澎湖海洋地質公園中心,0.568,50.12,2640.62,11,412,8
澎湖海洋地質公園中心(1F),0.24,51.78,2880.0,17,483,9
澎漁宴餐廳,0.615,19.79,1115.07,46,283,14
玻玻飲食店,0.559,47.64,2366.36,21,545,11
石滬廣場站,-0.14,46.14,2555.86,26,672,14
福慶樓海鮮餐廳,,,,26,672,1
福鴨鴨肉大王,,,,26,672,4
篤行十村,,,,26,672,3
紐西蘭牛排館,0.133,18.78,485.89,15,182,9
美味登場飯麵館,0.128,30.18,1264.18,16,342,11
自由塔,0.116,29.47,1096.41,60,561,17
莫咖啡,,,,60,561,1
萬泰食品,0.263,55.86,3798.43,12,401,7
葉子的店,0.001,33.21,2125.07,27,470,14
蒙地卡羅咖啡館,0.058,46.8,3024.0,6,238,5
藍21咖啡輕食,,,,6,238,3
跨海大橋(西嶼端),0.881,39.5,1585.5,8,245,6
通樑古榕,0.371,66.33,4468.67,9,407,6
金港黑砂糖剉冰-澎湖店,0.445,42.53,2759.2,43,673,15
金醬府,0.725,30.7,1216.9,53,354,10
阿鳳牛肉河粉,0.354,31.6,1609.33,33,489,15
青灣餐廳,,,,33,489,3
